Killing Floor,FPS,Zombies,Co-op,Survival,Horror,Action,Multiplayer,Online Co-Op,Gore,Shooter,Team-Based,First-Person,Survival Horror,Moddable,Great Soundtrack,Class-Based,Singleplayer,Difficult,Comedy,Adventure
Risen,RPG,Open World,Gothic,Fantasy,Adventure,Singleplayer,Atmospheric,Third Person,Exploration,Action,Magic,Dark Fantasy,Action RPG,Story Rich,Great Soundtrack,Medieval,Difficult,Sandbox,Classic,Character Customization
Metal: Hellsinger - Dream of the Beast,Action,Adventure
Machinarium,Point & Click,Puzzle,Hand-drawn,Steampunk,Robots,2D,Atmospheric,Story Rich,Cute,Casual,Family Friendly,Stylized,Surreal,Adventure,Sci-fi,Linear,Singleplayer,Indie,Great Soundtrack,Touch-Friendly
"Ranch Simulator - Build, Farm, Hunt",Early Access,Simulation,Multiplayer,Online Co-Op,Open World,Farming Sim,Farming,Job Simulator,Co-op,Realistic,Hunting,Sandbox,Singleplayer,Destruction,Management,Trading,Economy,Immersive Sim,Relaxing,Indie
Zompiercer,Early Access,Sandbox,FPS,Shooter,Action-Adventure,Action RPG,3D,First-Person,Post-apocalyptic,Horror,Funny,Base Building,Open World,Zombies,Casual,Action,Trains,Survival,Stealth,Agriculture
Cooking Simulator,Simulation,Cooking,Singleplayer,Realistic,Sandbox,Funny,Physics,First-Person,Family Friendly,Management,Relaxing,Crafting,Resource Management,Comedy,Economy,Co-op,Replay Value,Memes,Action,Female Protagonist
Twelve Minutes,Indie,Adventure,Mystery,Puzzle,Story Rich,Time Travel,Singleplayer,Point & Click,Top-Down,Thriller,Time Manipulation,Drama,Atmospheric,Violent,Narrative,Sexual Content,Exploration,Gore,Great Soundtrack,3D
The Forgotten City,Adventure,Time Travel,Mystery,Exploration,Indie,Choices Matter,Investigation,RPG,Story Rich,First-Person,Walking Simulator,Multiple Endings,Atmospheric,Great Soundtrack,Philosophical,Remake,Fantasy,Open World,Rome,Silent Protagonist
Roots of Pacha,Pixel Graphics,Farming Sim,Life Sim,Romance,RPG,Building,Exploration,Agriculture,Relaxing,Crafting,Sandbox,Simulation,Cute,Cozy,Online Co-Op,Controller,Co-op,Singleplayer,Character Customization,Multiplayer
The Beast Inside,Horror,Adventure,Action,Survival Horror,Multiplayer,First-Person,Singleplayer,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op
STEINS;GATE,Visual Novel,Story Rich,Anime,Time Travel,Sci-fi,Great Soundtrack,Multiple Endings,Choices Matter,Singleplayer,Science,Adventure,Atmospheric,Mystery,Romance,Thriller,Psychological Horror,Memes,Dating Sim,Horror,Casual
SnowRunner - Rezvani Hercules,Adventure,Simulation
Pharaoh: A New Era,City Builder,Simulation,Building,Management,Colony Sim,Economy,Historical,Trading,Resource Management,Diplomacy,Education,Strategy,Level Editor,Singleplayer,Inventory Management,Tutorial,Base Building,2D,Isometric,Time Travel
Battlefleet Gothic: Armada 2,Strategy,Space,Warhammer 40K,RTS,Real Time Tactics,Sci-fi,Singleplayer,Games Workshop,Violent,Co-op,Multiplayer,Naval,Atmospheric,War,Co-op Campaign,Tactical,Naval Combat
DYSMANTLE,Survival,Open World,Crafting,Zombies,RPG,Adventure,Base Building,Exploration,Action,Destruction,Top-Down,Indie,Fishing,Dystopian,Hunting,Sandbox,Loot,Agriculture,Simulation,Atmospheric
Initial Drift Online,Racing,Immersive Sim,Open World,Combat Racing,Life Sim,Driving,Physics,PvP,Automobile Sim,MMORPG,First-Person,Action,Third Person,Relaxing,Simulation,Anime,Atmospheric,Massively Multiplayer,1990's,Multiplayer
Turbo Overkill,FPS,Action,Shooter,Indie,Cyberpunk,Retro,Pixel Graphics,Violent,Fast-Paced,Gore,Combat,Singleplayer,Early Access,Casual,Great Soundtrack,First-Person
DR LIVESEY ROM AND DEATH EDITION,Action,Cartoon,Spectacle fighter,Hand-drawn,Difficult,Roguelike,Retro,Dungeon Crawler,Beat 'em up,Singleplayer,Procedural Generation,Atmospheric,Looter Shooter,Combat,Dark,Shoot 'Em Up,RPG,Adventure,Comedy,2D
Hunt: Showdown - Shrine Maiden's Hell,Action,Gore,Violent
Rebel Inc: Escalation,Strategy,Simulation,Casual,Political Sim,Indie,Military,Political,War,Management,Tactical,Diplomacy,Singleplayer,Realistic,Real-Time with Pause,RTS,Addictive,Replay Value,Sandbox,Great Soundtrack,Economy
KARDS - The WW2 Card Game,Free to Play,World War II,Card Game,Trading Card Game,Wargame,Board Game,Turn-Based Strategy,PvP,Strategy,Top-Down,Turn-Based Combat,Tanks,Deckbuilding,Historical,Casual,Multiplayer,Realistic,Military,War,Singleplayer
Styx: Shards of Darkness,Action,Singleplayer,Stealth,Adventure,Atmospheric,Story Rich,Third Person,Multiplayer,Puzzle,Violent,Indie,Assassin,Gore,Open World,RPG,Parkour,Fantasy,Co-op,Dark Fantasy,Dark Humor
X4: Split Vendetta,Simulation,Action,Space,Sandbox,Space Sim,Exploration,Economy,Sci-fi,Building,Flight
Pathfinder: Wrath of the Righteous - The Last Sarkorians,RPG,Adventure,Indie,Strategy,Gore,Violent
The Wandering Village,Early Access,Sandbox,City Builder,Procedural Generation,Nature,RTS,Strategy,Base Building,Cute,Survival,Relaxing,Post-apocalyptic,Singleplayer,Roguelike,Resource Management,Economy,Real-Time with Pause,Family Friendly,Emotional,Management
Hello Neighbor,Horror,Sandbox,Stealth,Action-Adventure,First-Person,Story Rich,Survival Horror,3D Platformer,Difficult,FPS,Survival,Strategy,3D,Funny,Psychological Horror,Dark Humor,Family Friendly,Multiple Endings,Surreal,Action
SpellForce 3: Soul Harvest,RPG,Strategy,RTS,Multiplayer,Fantasy,Singleplayer,Base Building,Gore,Story Rich,Party-Based RPG,Atmospheric,Great Soundtrack,Isometric,Online Co-Op
Farming Simulator 22 - Premium Expansion,Simulation
Amnesia: Rebirth,Horror,Survival Horror,Psychological Horror,Atmospheric,Gore,First-Person,Puzzle,Nudity,Story Rich,Lovecraftian,Dark,Adventure,Indie,Singleplayer,Action,Exploration,Female Protagonist,Stealth,Walking Simulator,Physics
AI: THE SOMNIUM FILES - nirvanA Initiative,Visual Novel,Mystery,Anime,Adventure,Sci-fi,Detective,Investigation,Futuristic,Noir,Psychedelic,Artificial Intelligence,Conspiracy,Illuminati,Crime,Interactive Fiction,Drama,3D,Philosophical,Surreal,Choose Your Own Adventure
VTOL VR,Flight,VR,Combat,Simulation,Jet,Military,War,Realistic,Vehicular Combat,Action,Physics,Artificial Intelligence,Naval Combat,6DOF,Singleplayer,Level Editor,Futuristic,First-Person,Multiplayer,Sandbox
The Jackbox Party Pack 5,Casual,Local Multiplayer,Comedy,Trivia,Funny,Multiplayer,Strategy,Party Game,Indie,Party,Board Game,4 Player Local,Local Co-Op,Co-op
Arma 3 Tac-Ops Mission Pack,Action,Simulation,Strategy,Military,Tactical,Singleplayer
Cities: Skylines - Mass Transit,Simulation,Strategy,City Builder,Sandbox,Transportation
War Thunder - T-72AV (TURMS-T) Pack,Action,Free to Play,Massively Multiplayer,Simulation
Avorion,Exploration,Sandbox,Building,Space Sim,Flight,Choose Your Own Adventure,PvE,Open World,3D,Third Person,Space,Sci-fi,Simulation,Economy,Voxel,Spaceships,Management,Trading,Vehicular Combat,Action RPG
SUCCUBUS,Sexual Content,Nudity,Mature,Gore,Female Protagonist,Violent,Demons,Action,Horror,Singleplayer,Adventure,Dark Fantasy,First-Person,Atmospheric,Exploration,Survival,Psychological Horror,Survival Horror,Action-Adventure,Psychedelic
Graveyard Keeper - Better Save Soul,Adventure,RPG,Indie,Simulation
The Jackbox Party Pack 9,Casual,Board Game,Trivia,Word Game,2D,Comedy,Cartoon,Family Friendly,Party,Colorful,Local Multiplayer,Funny,Party Game,PvP,Team-Based,Indie,Strategy,Co-op,Local Co-Op
Touhou Mystia's Izakaya,Casual,Pixel Graphics,RPG,Simulation,Faith,Time Management,Comedy,JRPG,Anime,2D,Colorful,Clicker,Cartoon,Drama,1990's,Old School,Story Rich,Female Protagonist,Multiple Endings,Cooking
Baldur's Gate: Enhanced Edition,RPG,Fantasy,Dungeons & Dragons,Isometric,CRPG,Party-Based RPG,Real-Time with Pause,Singleplayer,Story Rich,Character Customization,Adventure,Old School,Co-op,Multiplayer,Magic,Online Co-Op,Action-Adventure,Remake,Atmospheric,Strategy
OMSI 2: Steam Edition,Automobile Sim,Simulation,Driving,Realistic,Singleplayer,Moddable,Multiplayer,Casual,TrackIR,First-Person,Open World,Relaxing,Adventure,Replay Value,Family Friendly,Physics,Atmospheric,Management,Cult Classic,Action
Mutant Year Zero: Road to Eden,Strategy,RPG,Post-apocalyptic,Turn-Based Combat,Turn-Based Tactics,Tactical,Turn-Based,Adventure,Stealth,Singleplayer,Turn-Based Strategy,Atmospheric,Action,Survival,Dark Fantasy,Difficult,Funny,Horror,Exploration,Fantasy
City of Gangsters,Crime,Resource Management,Strategy,Management,Procedural Generation,Turn-Based,Economy,Historical,Turn-Based Strategy,Grand Strategy,Sandbox,Simulation,Noir,Conversation,Politics,Capitalism,America,Singleplayer,Top-Down,Inventory Management
Beholder 2,Strategy,Dystopian,Choices Matter,Simulation,Political Sim,Story Rich,Singleplayer,Atmospheric,Political,Multiple Endings,Dark,Politics,Addictive,Point & Click,2D,Lore-Rich,Adventure,Indie,Violent,Psychological Horror
Regiments,Strategy,Real Time Tactics,Wargame,Cold War,Combat,Realistic,RTS,Tactical,Alternate History,War,Singleplayer,1980s,Modern,Tanks,Military,Simulation,Indie,3D,Choices Matter,Multiplayer
Potionomics,Deckbuilding,Dating Sim,Capitalism,Simulation,Fantasy,Indie,RPG,Female Protagonist,Crafting,Resource Management,Card Game,Strategy,Romance,Management,Time Management,Life Sim,Wholesome,Singleplayer,LGBTQ+,Anime
